ISIN,Time,Notes,No. of shares,Total (EUR),Withholding tax,Finra fee (EUR),ID,Charge amount (EUR),Price / share,Result (EUR),Name,Exchange rate,Action,Ticker,Currency conversion fee (EUR),Currency (Withholding tax),Currency (Price / share)
DE000A27Z304,2020-12-03 08:04:28,,2.0000000000,31.39,,,EOF625398940,,15.69,3.28,Bitcoin ETP,1.00000,Market sell,BTCE,,,EUR
IE00B1XNHC34,2020-12-03 08:05:42,,10.0000000000,109.16,,,EOF625405261,,989.00,5.24,iShares Global Clean Energy,90.60360,Market sell,INRG,,,GBX
,2021-01-05 09:14:51,Sent to Bank account,,10.00,,,ff6396c2-ff57-4d65-bc68-6013fd65b8e8,,,,,,Withdrawal,,,,
US62914V1061,2021-01-08 20:37:09,,8.0000000000,386.70,,,EOF797570490,,59.08,101.78,NIO Inc,1.22225,Market sell,NIO,,,USD
,2021-01-09 08:07:28,Bank Transfer,,510.00,,,18748eee-cded-442c-8357-1c700137bb57,510.00,,,,,Deposit,,,,
US62914V1061,2021-01-11 16:39:04,,8.0000000000,418.91,,,EOF809610588,,63.68,,NIO Inc,1.21611,Market buy,NIO,,,USD
US62914V1061,2021-01-11 16:40:08,,10.0000000000,524.64,,,EOF809611389,,63.80,,NIO Inc,1.21607,Market buy,NIO,,,USD
US88160R1014,2021-01-25 17:23:29,,0.0500000000,35.55,,,EOF889786926,,863.06,,Tesla,1.21382,Market buy,TSLA,,,USD
US88160R1014,2021-02-01 14:52:28,,0.0500000000,33.36,,,EOF946171039,,806.35,,Tesla,1.20855,Market buy,TSLA,,,USD
US63008G2030,2021-02-01 14:56:36,,2.0000000000,22.30,,,EOF947283026,,13.48,,Nano Dimension ,1.20906,Market buy,NNDM,,,USD
US48138M1053,2021-02-01 15:01:57,,0.5000000000,24.06,,,EOF947296029,,58.18,,Jumia Technologies,1.20917,Market buy,JMIA,,,USD
US00165C1045,2021-02-01 18:45:35,,2.0000000000,23.29,,,EOF951835969,,14.05,,AMC Entertainment Holdings,1.20673,Market buy,AMC,,,USD
US00165C1045,2021-02-03 14:31:14,,2.0000000000,14.65,,,EOF965628421,,8.81,-8.64,AMC Entertainment Holdings,1.20293,Market sell,AMC,,,USD
US5657881067,2021-02-10 19:04:30,,1.0000000000,29.02,,,EOF1028904901,,35.19,,Marathon Digital Holdings,1.21277,Market buy,MARA,,,USD
US62914V1061,2021-02-12 15:22:36,,1.0000000000,49.27,,,EOF1042980714,,59.60,1.56,NIO Inc,1.20965,Market sell,NIO,,,USD
US42226N1090,2021-02-12 15:24:56,,12000.0000000000,49.61,,,EOF1043984025,,0.01,,Healthier Choices Management,1.20948,Market buy,HCMC,,,USD
US8177631053,2021-02-17 17:56:35,,2.0000000000,5.23,,,EOF1069967389,,3.15,,Sesen Bio ,1.20426,Market buy,SESN,,,USD
US8177631053,2021-02-24 14:54:55,,2.0000000000,4.65,,,EOF1106881607,,2.82,-0.58,Sesen Bio ,1.21333,Market sell,SESN,,,USD
US42226N1090,2021-02-24 14:58:47,,12000.0000000000,25.71,,,EOF1108185261,,0.00,-23.90,Healthier Choices Management,1.21325,Market sell,HCMC,,,USD
US69608A1088,2021-02-25 18:24:45,,1.0000000000,19.77,,,EOF1116049200,,24.10,,Palantir,1.21898,Market buy,PLTR,,,USD
US48138M1053,2021-02-25 19:00:24,,0.3000000000,11.66,,,EOF1116065266,,47.30,,Jumia Technologies,1.21723,Market buy,JMIA,,,USD
,2021-03-02 08:47:19,Bank Transfer,,250.00,,,54b72a9e-0391-4d9d-bcc0-8b829f0bd91d,250.00,,,,,Deposit,,,,
US5657881067,2021-03-02 14:40:16,,1.0000000000,31.27,,,EOF1131489593,,37.64,,Marathon Digital Holdings,1.20371,Market buy,MARA,,,USD
US69608A1088,2021-03-02 14:41:48,,1.0000000000,20.65,,,EOF1131491261,,24.85,,Palantir,1.20358,Market buy,PLTR,,,USD
US63008G2030,2021-03-02 14:42:26,,2.0000000000,16.92,,,EOF1131491883,,10.18,,Nano Dimension ,1.20350,Market buy,NNDM,,,USD
US48138M1053,2021-03-02 14:42:49,,1.2000000000,47.16,,,EOF1131492165,,47.30,,Jumia Technologies,1.20362,Market buy,JMIA,,,USD
US62914V1061,2021-03-02 14:45:33,,0.5000000000,18.71,,,EOF1131499930,,45.05,,NIO Inc,1.20375,Market buy,NIO,,,USD
US69608A1088,2021-03-02 14:46:15,,1.0000000000,20.71,,,EOF1131500869,,24.93,,Palantir,1.20375,Market buy,PLTR,,,USD
US62914V1061,2021-03-02 14:47:34,,0.5000000000,18.76,,,EOF1131502791,,45.18,,NIO Inc,1.20391,Market buy,NIO,,,USD
US09354A1007,2021-03-22 16:38:16,,1.0000000000,34.02,,,EOF1222002997,,40.60,,Blink Charging,1.19329,Market buy,BLNK,,,USD
US3743964062,2021-03-22 16:39:00,,2.0000000000,16.74,,,EOF1222003180,,9.99,,Gevo,1.19332,Market buy,GEVO,,,USD
US3743964062,2021-04-05 15:20:30,,2.0000000000,15.93,,,EOF1255744122,,9.42,-0.79,Gevo,1.18127,Market sell,GEVO,0.02,,USD
US6085501095,2021-04-05 15:24:45,,2.0000000000,15.84,,,EOF1255745746,,9.34,,Molecular Templates,1.18099,Market buy,MTEM,0.02,,USD
US6085501095,2021-04-05 15:31:13,,2.0000000000,15.66,,,EOF1255747594,,9.26,-0.14,Molecular Templates,1.18135,Market sell,MTEM,0.02,,USD
US5657881067,2021-04-06 13:31:11,,2.0000000000,94.74,,,EOF1260470334,,56.15,34.59,Marathon Digital Holdings,1.18360,Market sell,MARA,0.14,,USD
US03990B1017,2021-04-06 13:34:07,,1.0000000000,45.78,,,EOF1260472829,,54.11,,Ares Management,1.18370,Market buy,ARES,0.07,,USD
US3743964062,2021-04-06 13:36:54,,2.0000000000,15.26,,,EOF1260475124,,9.02,,Gevo,1.18347,Market buy,GEVO,0.02,,USD
US5657881067,2021-04-06 13:46:39,,1.0000000000,46.10,,,EOF1260489162,,54.48,,Marathon Digital Holdings,1.18344,Market buy,MARA,0.07,,USD
US03990B1017,2021-04-06 14:20:18,,1.0000000000,46.05,,0.00,EOF1260509821,,54.63,0.41,Ares Management,1.18449,Market sell,ARES,0.07,,USD
US5657881067,2021-04-06 14:20:33,,1.0000000000,44.66,,,EOF1260509915,,52.80,,Marathon Digital Holdings,1.18407,Market buy,MARA,0.07,,USD
,2021-04-09 07:49:04,FX fee refund,,0.16,,,0bd301c5-5f03-4edc-9bd2-c10cbf35e629,0.16,,,,,Deposit,,,,
US01609W1027,2021-04-13 14:27:12,,0.1000000000,20.58,,,EOF1277472706,,245.13,,Alibaba,1.19307,Market buy,BABA,0.03,,USD
US01609W1027,2021-04-19 18:04:55,,0.1000000000,19.38,,,EOF1292408897,,233.64,-1.14,Alibaba,1.20357,Market sell,BABA,0.03,,USD
US3743964062,2021-04-19 18:05:15,,2.0000000000,10.43,,,EOF1292408922,,6.29,-4.79,Gevo,1.20359,Market sell,GEVO,0.02,,USD
US5657881067,2021-04-19 18:08:53,,1.0000000000,29.27,,,EOF1292409344,,35.17,,Marathon Digital Holdings,1.20319,Market buy,MARA,0.04,,USD
US98422D1054,2021-06-01 15:15:20,,1.0000000000,27.77,,,EOF1367126494,,34.07,-7.98,XPeng,1.22525,Market sell,XPEV,0.04,,USD
US00165C1045,2021-06-01 15:16:01,,1.0000000000,24.51,,,EOF1367127022,,29.97,,AMC Entertainment Holdings,1.22494,Market buy,AMC,0.04,,USD
US74933X2036,2021-06-07 14:06:10,,1.0000000000,7.18,,,EOF1376649346,,8.73,,RA Medical Systems ,1.21752,Market buy,RMED,0.01,,USD
US15961R1059,2021-06-07 14:09:23,,0.2000000000,4.76,,,EOF1376650285,,28.93,,ChargePoint Holdings,1.21774,Market buy,CHPT,0.01,,USD
US15961R1059,2021-06-07 14:12:24,,0.2000000000,4.67,,,EOF1376651128,,28.52,-0.07,ChargePoint Holdings,1.21819,Market sell,CHPT,0.01,,USD
US00165C1045,2021-06-07 14:13:05,,1.0000000000,45.21,,,EOF1376651336,,55.16,20.81,AMC Entertainment Holdings,1.21816,Market sell,AMC,0.07,,USD
US74933X2036,2021-06-07 14:15:40,,1.0000000000,6.52,,,EOF1376652131,,7.95,-0.64,RA Medical Systems ,1.21827,Market sell,RMED,0.01,,USD
US00165C1045,2021-06-07 14:16:08,,1.0000000000,44.58,,,EOF1376652302,,54.20,,AMC Entertainment Holdings,1.21782,Market buy,AMC,0.07,,USD
US21077C1071,2021-06-22 13:30:04,,1.0000000000,11.32,,,EOF1405295969,,13.46,,ContextLogic,1.19079,Market buy,WISH,0.02,,USD
US21077C1071,2021-06-22 13:53:43,,1.0000000000,11.74,,,EOF1405314180,,13.99,0.46,ContextLogic,1.18984,Market sell,WISH,0.02,,USD
US21077C1071,2021-06-22 13:54:45,,1.0000000000,11.72,,,EOF1405314513,,13.92,,ContextLogic,1.18978,Market buy,WISH,0.02,,USD
US56804T2050,2021-06-28 15:46:17,,0.5000000000,2.98,,,EOF1417372102,,7.11,,Marin Software ,1.19317,Market buy,MRIN,,,USD
US56804T2050,2021-06-29 13:42:11,,0.5000000000,3.74,,,EOF1418745605,,8.93,0.77,Marin Software ,1.18938,Market sell,MRIN,0.01,,USD
US21077C1071,2021-06-29 13:43:02,,1.0000000000,11.73,,,EOF1418746345,,13.97,0.05,ContextLogic,1.18930,Market sell,WISH,0.02,,USD
US16383L1061,2021-06-29 13:50:41,,1.0000000000,11.98,,,EOF1418751650,,14.23,,ChemoCentryx,1.18937,Market buy,CCXI,0.02,,USD
,2021-07-02 07:00:52,Bank Transfer,,100.00,,,1f24c07e-48e9-4824-ad04-07521e5b1080,100.00,,,,,Deposit,,,,
US50202M1027,2021-07-02 16:10:00,,3.5000000000,95.76,,,EOF1427355616,,32.35,,Li Auto,1.18416,Market buy,LI,0.14,,USD
US16383L1061,2021-07-06 13:32:02,,1.0000000000,11.97,,,EOF1431349356,,14.18,0.03,ChemoCentryx,1.18305,Market sell,CCXI,0.02,,USD
US50202M1027,2021-07-06 13:34:30,,3.5000000000,96.22,,,EOF1431351322,,32.58,0.74,Li Auto,1.18342,Market sell,LI,0.14,,USD
US11776U3005,2021-07-06 13:49:02,,10.0000000000,46.39,,,EOF1432073954,,5.48,,BSQUARE ,1.18300,Market buy,BSQR,0.07,,USD
US2297942011,2021-07-06 14:18:00,,5.0000000000,29.74,,,EOF1432088610,,7.03,,Cuentas,1.18357,Market buy,CUEN,0.04,,USD
US56804T2050,2021-07-06 14:19:56,,1.0000000000,21.59,,,EOF1432089669,,25.51,,Marin Software ,1.18313,Market buy,MRIN,0.03,,USD
US2297942011,2021-07-06 14:31:07,,5.0000000000,30.38,,,EOF1432094491,,7.20,0.73,Cuentas,1.18294,Market sell,CUEN,0.05,,USD
US68557F2092,2021-07-06 14:36:23,,3.0000000000,23.13,,,EOF1432096649,,9.10,,Orbsat,1.18202,Market buy,OSAT,0.03,,USD
US11776U3005,2021-07-06 14:45:54,,5.0000000000,23.92,,,EOF1432099605,,5.67,0.80,BSQUARE ,1.18312,Market sell,BSQR,0.04,,USD
US11776U3005,2021-07-06 15:06:07,,5.0000000000,23.63,,,EOF1432105277,,5.60,0.51,BSQUARE ,1.18270,Market sell,BSQR,0.04,,USD
US56804T2050,2021-07-19 13:44:51,,1.0000000000,6.77,,,EOF1451908418,,8.02,-14.78,Marin Software ,1.18231,Market sell,MRIN,0.01,,USD
US68557F2092,2021-07-19 13:45:16,,3.0000000000,16.22,,,EOF1451911169,,6.40,-6.86,Orbsat,1.18215,Market sell,OSAT,0.02,,USD
US5657881067,2021-07-22 13:58:56,,3.0000000000,62.33,,,EOF1458830504,,24.51,,Marathon Digital Holdings,1.18131,Market buy,MARA,0.09,,USD
US7707001027,2021-08-05 13:30:09,,0.3300000000,17.59,,,EOF1482139055,,63.00,,Robinhood,1.18393,Market buy,HOOD,0.03,,USD
US5657881067,2021-09-07 15:25:08,,3.0000000000,101.12,,,EOF1532608922,,39.97,10.23,Marathon Digital Holdings,1.18406,Market sell,MARA,0.15,,USD
US5657881067,2021-09-13 13:30:03,,3.0000000000,89.18,,,EOF1541291326,,35.00,,Marathon Digital Holdings,1.17911,Limit buy,MARA,0.13,,USD
US25400Q1058,2021-10-22 13:30:16,,0.5000000000,53.79,,,EOF1623657477,,125.00,,Digital World Acquisition,1.16356,Market buy,DWAC,0.08,,USD
US25400Q1058,2021-10-22 13:30:27,,0.5000000000,53.61,,,EOF1623658561,,124.96,-0.02,Digital World Acquisition,1.16376,Market sell,DWAC,0.08,,USD
US25400Q1058,2021-10-22 13:40:20,,0.1900000000,25.97,,,EOF1623669492,,158.89,,Digital World Acquisition,1.16412,Market buy,DWAC,0.04,,USD
US7707001027,2021-11-15 14:43:58,,0.3300000000,10.09,,,EOF1667612139,,35.04,-7.45,Robinhood,1.14396,Market sell,HOOD,0.02,,USD
US25400Q1058,2021-11-15 14:44:46,,0.1900000000,10.08,,,EOF1667612665,,60.80,-15.83,Digital World Acquisition,1.14405,Market sell,DWAC,0.02,,USD
US5657881067,2021-11-15 17:17:03,,3.0000000000,177.29,,,EOF1668510512,,67.53,87.51,Marathon Digital Holdings,1.14093,Market sell,MARA,0.27,,USD
US76954A1034,2021-11-15 17:33:34,,0.5000000000,64.77,,,EOF1668512681,,147.30,,Rivian Automotive,1.13892,Market buy,RIVN,0.10,,USD
US5657881067,2021-11-15 18:52:51,,1.0000000000,57.01,,,EOF1668522284,,64.80,,Marathon Digital Holdings,1.13841,Limit buy,MARA,0.09,,USD
US5657881067,2021-11-15 20:55:22,,1.0000000000,48.47,,,EOF1668536541,,54.98,,Marathon Digital Holdings,1.13587,Limit buy,MARA,0.07,,USD
US5657881067,2021-11-22 15:52:25,,5.0000000000,222.78,,,EOF1679733194,,50.18,27.74,Marathon Digital Holdings,1.12455,Market sell,MARA,0.33,,USD
US88160R1014,2021-11-22 15:54:07,,0.1000000000,106.80,,,EOF1679733595,,1199.32,,Tesla,1.12460,Market buy,TSLA,0.16,,USD
US5657881067,2021-11-23 17:31:01,,2.0000000000,94.06,,,EOF1682762334,,52.89,,Marathon Digital Holdings,1.12625,Market buy,MARA,0.14,,USD
US7672921050,2021-11-23 17:31:38,,1.0000000000,31.73,,,EOF1682762386,,35.68,,Riot Blockchain,1.12628,Market buy,RIOT,0.05,,USD
ES0140609019,2021-11-24 09:10:59,,1.0000000000,2.43,,,EOF1682796186,,2.43,,Caixabank,1.00000,Market buy,CABK,,,EUR
,2021-11-24 09:10:59,Free Shares Promotion,,2.44,,,549bd225-2218-49b5-86c7-51b20d517a30,2.44,,,,,Deposit,,,,
ES0140609019,2021-11-24 09:14:48,,1.0000000000,2.43,,,EOF1682796259,,2.43,0.00,Caixabank,1.00000,Market sell,CABK,,,EUR
US98422D1054,2021-11-26 14:33:17,,0.4000000000,18.53,,,EOF1685796231,,52.19,,XPeng,1.12853,Market buy,XPEV,0.03,,USD
US7672921050,2021-11-26 14:39:07,,1.0000000000,31.80,,,EOF1685801584,,35.96,0.17,Riot Blockchain,1.12917,Market sell,RIOT,0.05,,USD
US00165C1045,2021-11-26 14:39:44,,1.0000000000,33.16,,,EOF1685801911,,37.51,-11.30,AMC Entertainment Holdings,1.12942,Market sell,AMC,0.05,,USD
US5494981039,2021-11-26 14:40:00,,1.0000000000,45.19,,,EOF1685802042,,50.96,,Lucid Group,1.12933,Market buy,LCID,0.07,,USD
US98422D1054,2021-12-02 16:21:26,,0.4000000000,18.00,,,EOF1696865380,,50.79,,XPeng,1.13069,Market buy,XPEV,0.03,,USD
,2021-12-06 07:30:10,Bank Transfer,,1000.00,,,413a1fae-7885-41f2-a9cc-9251b909035c,1000.00,,,,,Deposit,,,,
US5657881067,2021-12-06 15:30:20,,2.0000000000,71.69,,,EOF1700865002,,40.40,,Marathon Digital Holdings,1.12877,Market buy,MARA,0.11,,USD
US62914V1061,2021-12-06 15:30:48,,3.0000000000,87.31,,,EOF1700865131,,32.80,,NIO Inc,1.12868,Market buy,NIO,0.13,,USD
US98422D1054,2021-12-06 15:31:24,,2.2000000000,87.87,,,EOF1700865394,,45.01,,XPeng,1.12856,Market buy,XPEV,0.13,,USD
US88160R1014,2021-12-06 15:31:45,,0.3000000000,263.86,,,EOF1700865485,,991.16,,Tesla,1.12862,Market buy,TSLA,0.40,,USD
US5657881067,2021-12-10 15:26:43,,1.0000000000,36.23,,,EOF1706582572,,40.88,,Marathon Digital Holdings,1.12982,Market buy,MARA,0.05,,USD
US0378331005,2021-12-17 19:42:46,,0.1000000000,15.34,,,EOF1715646567,,172.42,,Apple,1.12570,Market buy,AAPL,0.02,,USD
US4581401001,2021-12-17 19:43:17,,0.1000000000,4.52,,,EOF1715646615,,50.78,,Intel,1.12572,Market buy,INTC,0.01,,USD
US67066G1040,2021-12-17 19:43:30,,0.1000000000,25.20,,,EOF1715646621,,283.23,,Nvidia,1.12581,Market buy,NVDA,0.04,,USD
US2546871060,2021-12-17 19:44:46,,0.1000000000,13.25,,,EOF1715646672,,148.93,,Walt Disney,1.12560,Market buy,DIS,0.02,,USD
US00287Y1091,2021-12-17 20:00:21,,0.2500000000,29.04,,,EOF1715647580,,130.49,,AbbVie,1.12508,Market buy,ABBV,0.04,,USD
IE00B3XXRP09,2021-12-20 08:00:34,,0.3000000000,23.08,,,EOF1717607865,,86.47,,Vanguard S&P 500,1.12541,Market buy,VUSD,0.03,,USD
IE00B3WJKG14,2021-12-20 08:00:46,,0.5000000000,9.26,,,EOF1717608417,,1577.00,,iShares S&P 500 Information Technology Sector,85.20310,Market buy,IITU,0.01,,GBX
IE00BYM8JD58,2021-12-20 08:01:38,,0.5000000000,11.78,,,EOF1717608600,,26.46,,Invesco Real Estate S&P US Select Sector,1.12526,Market buy,XRES,0.02,,USD
US88160R1014,2021-12-28 14:30:05,,0.1000000000,98.26,,,EOF1724698596,,1109.46,,Tesla,1.13085,Market buy,TSLA,0.15,,USD
US62914V1061,2021-12-29 18:40:38,,5.0000000000,124.86,,,EOF1727771534,,28.27,,NIO Inc,1.13376,Market buy,NIO,0.19,,USD
US98422D1054,2021-12-29 18:41:33,,1.0000000000,39.54,,,EOF1727771577,,44.76,,XPeng,1.13380,Market buy,XPEV,0.06,,USD
XS2399365472,2021-12-30 08:05:18,,20.0000000000,47.96,,,EOF1727783301,,201.10,,3x Long NIO,83.98171,Market buy,3NIO,0.07,,GBX
XS2399365555,2021-12-30 13:53:29,,1.0000000000,7.34,,,EOF1727796451,,7.34,,-3x Short NIO,1.00000,Market buy,SNIE,,,EUR
XS2399365472,2021-12-31 10:39:11,,20.0000000000,61.83,,,EOF1729607637,,259.70,14.03,3x Long NIO,83.88448,Market sell,3NIO,0.09,,GBX